Stkcd,alpha,beta,t_alpha,t_beta,p_alpha,p_beta,R2
2260,-0.099328,-5.608168,-1.111338,-1.577994,0.316985,0.175397,0.332449
2081,-0.004638,0.805747,-1.434412,6.678133,0.153509,0.0,0.226847
600292,-0.000331,1.00437,-0.061121,4.96527,0.951343,2e-06,0.139561
2776,-0.004327,1.198259,-0.636873,4.759025,0.525226,5e-06,0.136725
1256,0.077234,5.449578,0.423271,0.890134,0.745094,0.536962,0.44207
603669,0.00093,0.678919,0.204775,4.006734,0.838022,9.6e-05,0.095528
2100,-0.003155,1.11445,-0.664552,6.290605,0.507344,0.0,0.206563
2147,-0.002059,0.599773,-0.206811,1.588448,0.836502,0.114773,0.020263
2378,0.001253,1.489346,0.215828,6.874003,0.829412,0.0,0.237147
2278,-0.002388,0.997711,-0.703681,7.879696,0.482708,0.0,0.290017
