group,alpha_p,beta_p,t_alpha,t_beta,p_alpha,p_beta,R2
0,-0.001289,1.117892,-1.310665,30.44469,0.191948,0.0,0.859113
1,-0.000127,0.983833,-0.169816,35.21804,0.865381,0.0,0.890829
2,-8.7e-05,1.000446,-0.106681,32.997935,0.915183,0.0,0.877505
3,-0.000203,1.047089,-0.246437,33.999286,0.805677,0.0,0.883788
4,-0.000954,1.055231,-0.94137,27.867757,0.348009,0.0,0.836315
5,0.000816,0.980183,0.931749,29.97536,0.352944,0.0,0.85531
6,0.000886,1.109098,0.966526,32.378993,0.335316,0.0,0.873375
7,-0.00028,1.031606,-0.363019,35.80163,0.717095,0.0,0.893985
8,-0.000162,1.00281,-0.194041,32.170833,0.846403,0.0,0.871942
9,0.002526,1.091157,0.478465,5.533077,0.633007,0.0,0.167647
10,0.000789,0.976692,0.831023,27.532513,0.407264,0.0,0.832974
11,0.000197,1.050065,0.260421,37.079104,0.794891,0.0,0.900449
12,-0.00015,1.077,-0.193939,37.19385,0.846483,0.0,0.901002
13,0.000659,1.105949,0.841191,37.806863,0.401562,0.0,0.90388
14,0.000175,1.008394,0.257385,39.639239,0.797229,0.0,0.911796
15,-1.5e-05,1.083188,-0.020699,40.938414,0.983513,0.0,0.916847
16,9.2e-05,0.975129,0.134207,37.950933,0.893416,0.0,0.904539
17,0.00032,1.04768,0.356479,31.238598,0.721977,0.0,0.86523
18,8.3e-05,1.016877,0.101748,33.311133,0.919091,0.0,0.879521
19,-0.000777,1.011723,-0.88339,30.793349,0.378421,0.0,0.861847
20,2.2e-05,1.069238,0.026782,34.813917,0.978668,0.0,0.888564
21,0.000742,0.979081,1.030538,36.398782,0.304395,0.0,0.89708
22,-0.000795,1.08841,-0.970877,35.589613,0.333152,0.0,0.892854
23,-0.000856,1.119271,-1.117037,39.115599,0.265741,0.0,0.909633
24,0.000607,0.971948,0.688864,29.517454,0.491959,0.0,0.851458
25,-0.000292,1.056509,-0.341189,32.998436,0.733433,0.0,0.877508
26,0.000243,1.005324,0.27857,30.860393,0.780953,0.0,0.862364
27,0.000936,1.044103,0.965811,28.84214,0.335673,0.0,0.845508
28,1.2e-05,1.033236,0.012483,29.40325,0.990057,0.0,0.850475
29,0.00119,1.107863,0.69679,17.366401,0.486998,0.0,0.664897
30,0.000458,0.788357,0.363061,16.716297,0.717063,0.0,0.647687
31,-0.000138,0.891903,-0.160738,27.814452,0.872513,0.0,0.83579
32,-0.00077,1.037339,-1.054492,38.043471,0.293331,0.0,0.904959
33,4.9e-05,0.954751,0.060035,31.453842,0.952207,0.0,0.866824
34,0.000144,0.967958,0.194096,34.993294,0.84636,0.0,0.889577
35,-0.001123,0.96819,-1.501107,34.661543,0.135402,0.0,0.887692
36,-2.6e-05,1.033909,-0.037034,39.707711,0.970507,0.0,0.912073
37,0.000956,0.999839,1.26399,35.375198,0.208169,0.0,0.891692
38,0.000207,0.966245,0.278932,34.806114,0.780676,0.0,0.888519
39,0.000208,0.939287,0.312167,37.753409,0.755342,0.0,0.903634
40,-0.000619,0.95065,-0.891655,36.688794,0.373987,0.0,0.898536
41,-0.001996,0.932629,-2.706367,33.858243,0.00758,0.0,0.882931
42,-0.000474,0.982648,-0.591946,32.86874,0.554766,0.0,0.876659
43,0.000462,0.962461,0.619628,34.59624,0.53643,0.0,0.887316
44,-0.000764,0.963367,-0.978256,33.013341,0.329502,0.0,0.877605
45,5.1e-05,0.872336,0.068535,31.261379,0.94545,0.0,0.8654
46,0.000137,0.982422,0.163411,31.479021,0.870412,0.0,0.867008
47,0.000608,0.894682,0.635309,25.032192,0.526182,0.0,0.80478
48,-0.001175,0.884082,-1.27798,25.749676,0.203205,0.0,0.813507
49,-0.000262,0.926215,-0.261135,24.728806,0.794342,0.0,0.80092
50,-0.000242,0.847168,-0.232722,21.829894,0.81629,0.0,0.758171
51,-0.000297,0.983795,-0.470885,41.770885,0.638398,0.0,0.919865
52,0.000429,1.079577,0.496043,33.401336,0.62058,0.0,0.880093
53,0.000187,1.064678,0.213076,32.506625,0.831553,0.0,0.874243
54,0.001041,0.947662,0.95414,23.253242,0.341528,0.0,0.780573
55,0.001437,0.951865,1.463649,25.963386,0.145355,0.0,0.816002
56,0.000999,0.960099,0.972168,25.004917,0.332511,0.0,0.804438
57,-0.000387,0.939674,-0.480529,31.206712,0.631542,0.0,0.864992
58,0.000158,1.042982,0.178716,31.683692,0.858399,0.0,0.868496
59,0.000491,1.023808,0.494112,27.596497,0.621941,0.0,0.833619
60,-4.4e-05,0.950031,-0.057361,33.459942,0.954333,0.0,0.880463
61,0.00067,1.04243,0.742809,30.962625,0.458743,0.0,0.863147
62,0.000783,1.034048,0.710831,25.136454,0.478279,0.0,0.806083
63,0.008769,1.253337,1.529745,5.531067,0.128491,0.0,0.18932
64,0.003717,0.895928,1.184029,6.812726,0.238722,0.0,0.277238
